"Arrival/Departure","Port","ShipType","Flag","Ship_Name","Owners","Captain","Captain2","Year","Month","Day","Origin","DestinationDecl","Crew","Days Voyage","Itinerary","Arribada","Date_of_Depart_Origin","Source","Genral_notes","Cargo","Molasses","MolassesUnit","Sugar","SugarUnit","Flour","FlourUnites","Hides","HidesUnit","Coffee","CoffeeUnit","Coal","CoalUnit","VAR00007","VAR00008","VAR00009","VAR00010"
"Departure","Boston","brig",NA,"Polly",NA,"Appleton",NA,1803,1,10,"Boston","Martinique",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Hope",NA,"Hewes",NA,1803,1,10,"Boston","Jamaica",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Plutus",NA,"Adamson",NA,1803,1,10,"Boston","West-Indies",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Rambler",NA,"Hills",NA,1803,1,10,"Boston","Lisbon",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Hannah",NA,"Bryant",NA,1803,1,10,"Boston","Liverpool",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Grace",NA,"Tayler",NA,1803,1,5,"London","New York",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Friendship",NA,"Holtz",NA,1803,1,5,"Hamburg","New York",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Wealthy",NA,"Pratt",NA,1803,1,5,"Antigua","New York",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Amiable Matilda",NA,"Graham",NA,1803,1,6,"Amsterdam","New York",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"Howard",NA,"Buckford",NA,1802,12,30,"Portsmouth","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"Catharine",NA,"Lawrence",NA,1802,12,30,"Barbadoes","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"Sukey & Betsey",NA,"Cook",NA,1802,12,30,"Salem","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"Dove",NA,"Chipman",NA,1802,12,30,"St. Vincents","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"Hannah",NA,"Smith",NA,1802,12,30,"Boston","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Alexandria",NA,NA,"William",NA,"Woodbury",NA,1802,12,30,"Portland","Alexandria",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Alexandria",NA,NA,"Harriot",NA,"Blunt",NA,1802,12,30,"Alexandria","Jamaica",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Alexandria",NA,NA,"Maryat",NA,"Muir",NA,1802,12,30,"Alexandria","Barbadoes",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","ship",NA,"Bonetta",NA,"Leander",NA,1803,1,11,"Calcutta","Boston",NA,117,NA,NA,NA,"Massachusetts Mercury",NA,"10000 goat skins; 200 bales and trunks of piece goods, viz. 5 bales blue guinea cloths (of 8 cull), 2 bales nakanies, 1 bale cuddelor comboys, 2 bales washed salempores, checks, custer, gilla handkercheifs, cuddelone handkercheifs, 2 cases bandana handkercheifs, 2 cases sistersoy handkercheifs, inchee handkercheifs, 4 cases lungy handkercheifs, patna chintzes, checks, 4 bales beerboom gurrahs, 2 bales patna gurrahs, 4 bales mowehadoguny gurrahs, 3 bales guzzepore mamoody, 5 bales mugga swans (fine), 4 bales mow sannas, 8 bales janna mamoody, 1 bale janna swans (fine), 3 bales janna bastas, 5 bales janna emterties, aliabad emerties, 3 bales patna bastas; a quantity of cotton wickyarn, of an excellent quality; 2000 gunny bags; 20000 wt. mocha coffee; 162 bags saltperte; 60 bags sugar; a quantity of goat skins in the hair, and part without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Boston","brig",NA,"Ann and Betsey",NA,"Quinton",NA,1803,1,13,"Kingston","Boston",NA,29,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","ship",NA,"O' Cain",NA,"O' Cain",NA,1803,1,13,"Boston","North West Coast of America",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Boston","schooner",NA,"Vandyck",NA,"Gotham",NA,1803,1,13,"Boston","Gibraltar",NA,NA,NA,NA,NA,"Massachusetts Mercury","no specific date of departure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"Bellisarius",NA,"Tibetts",NA,1803,1,5,"Wiscasset","Greenock",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"Mary",NA,"Austin",NA,1803,1,5,"Wiscasset","Barbadoes",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"Friendship",NA,"Rider",NA,1803,1,5,"Wiscasset","Tobago",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"Three Brothers",NA,"Chace",NA,1803,1,5,"Wiscasset","Demerara",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"Seaflower",NA,"M' Clintock",NA,1803,1,5,"Wiscasset","Barbadoes",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Departure","Wiscasset",NA,NA,"America",NA,"Grant",NA,1803,1,5,"Wiscasset","Demerara",NA,NA,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Hare",NA,NA,NA,1803,1,8,"Lisbon","New York",NA,35,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Mary",NA,NA,NA,1803,1,8,"Amsterdam","New York",NA,63,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Two Brothers",NA,NA,NA,1803,1,8,"Bourdeaux","New York",NA,56,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","New York",NA,NA,"Minerva",NA,NA,NA,1803,1,8,"Cuba","New York",NA,18,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Philadelphia",NA,NA,"Hamden and Sydney",NA,NA,NA,1803,1,7,"Madeira","Philadelphia",NA,43,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Philadelphia",NA,NA,"Four Friends",NA,NA,NA,1803,1,7,"St. Ubes","Philadelphia",NA,50,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Philadelphia",NA,NA,"Julia",NA,NA,NA,1803,1,7,"St. Croix","Philadelphia",NA,25,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Philadelphia",NA,NA,"Globe",NA,NA,NA,1803,1,7,"Antigua","Philadelphia",NA,18,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arrival","Philadelphia",NA,NA,"Sally",NA,NA,NA,1803,1,7,"Trinadad","Philadelphia",NA,23,NA,NA,NA,"Massachusetts Mercury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
