Arrival/Departure,Port,ShipType,Flag,Ship_Name,Owners,Captain,Captain2,Year,Month,Day,Origin,DestinationDecl,Crew,Days Voyage,Itinerary,Arribada,Date_of_Depart_Origin,Source,Genral_notes,Cargo,Molasses,MolassesUnit,Sugar,SugarUnit,Flour,FlourUnites,Hides,HidesUnit,Coffee,CoffeeUnit,Coal,CoalUnit,VAR00007,VAR00008,VAR00009,VAR00010
Arrival,Norfolk,,,Mary,,,,1802,12.0,30.0,Cape Francoise,Norfolk,,16.0,,,,Massachusetts Mercury,12.28 or 12.30,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Hope,,,,1802,12.0,30.0,Barbadoes,Norfolk,,37.0,,,,Massachusetts Mercury,12.28 or 12.30,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Parke Farley,,,,1802,12.0,30.0,Antigua,Norfolk,,16.0,,,,Massachusetts Mercury,12.28 or 12.30,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Betsey and Fanny,,,,1802,12.0,30.0,Barbadoes,Norfolk,,31.0,,,,Massachusetts Mercury,12.28 or 12.30,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Mercury,,,,1802,12.0,30.0,Norfolk,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Eliza,,,,1802,12.0,30.0,Norfolk,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Favorite,,,,1802,12.0,30.0,Norfolk,Bourdeaux,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Greyhound,,,,1802,12.0,30.0,Norfolk,Barbadoes,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Norfolk,,,Eliza,,,,1802,12.0,30.0,Norfolk,West-Indies,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Deborah,,Holland,,1803,1.0,14.0,Madeira,Boston,,,,,,Massachusetts Mercury,,22 pipes old London particular Madeira; 2 half pipes old London particular Madeira; 8 qr. casks old London particular Madeira,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,,Nancy,,Colesworthy,,1803,1.0,14.0,Martinico,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,brig,,Rover,,Luce,,1803,1.0,17.0,Richmond,Boston,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Boston,ship,,Dispatch,,Marshall,,1803,1.0,17.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Departure,Boston,brig,,Industry,,Smith,,1803,1.0,17.0,Boston,West-Indies,,,,,,Massachusetts Mercury,no specific date of departure,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Mary,,,,1803,1.0,1.0,Cape Francoise,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Fishhawk,,,,1803,1.0,1.0,Martinico,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Norfolk,,,Virginia,,,,1803,1.0,1.0,Cape Francoise,Norfolk,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Susanna,,,,1802,12.0,29.0,Greenock,Charleston,,52.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Caroline,,,,1802,12.0,29.0,Portsmouth,Charleston,,16.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Polly,,,,1802,12.0,29.0,Boston,Charleston,,16.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Hazard,,,,1802,12.0,29.0,Cadiz,Charleston,,70.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Byefield,,,,1802,12.0,29.0,Boston,Charleston,,18.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Polly,,,,1802,12.0,29.0,Cape Francoise,Charleston,,11.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Elizabeth,,,,1802,12.0,29.0,Salem,Charleston,,16.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Nabby,,,,1802,12.0,29.0,Jamaica,Charleston,,18.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Polly,,,,1802,12.0,29.0,Greenock,Charleston,,56.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Rosamond,,,,1802,12.0,29.0,Greenock,Charleston,,49.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Charleston,,,Mary,,,,1802,12.0,29.0,London,Charleston,,38.0,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Departure,Savannah,,,Fox,,,,1802,12.0,24.0,Savannah,Liverpool,,,,,,Massachusetts Mercury,,,,,,,,,,,,,,,,,,
Arrival,Boston,schooner,English,Sally,,Thomas,,1803,1.0,19.0,St. Johns,Boston,,17.0,,,,Massachusetts Mercury,,pimento; fish; grindstones,,,,,,,,,,,,,,,,
Arrival,Boston,ship,,Arab,,Sargent,,1803,1.0,18.0,Cadiz,Boston,,60.0,,,,Massachusetts Mercury,,1000 hhds. excellent salt,,,,,,,,,,,,,,,,
