Location,Latitude,Longitude
York,53.9656578,-1.0743052
Welfleet,33.7430913,-117.9256596
Natchez,31.5604076,-91.403171
Leith,55.9725499,-3.1709492
St. Augustine,40.7183728,-90.4109616
Havre-de-Grace,49.4938975,0.1079732
Cork,51.8985136,-8.4726423
Quincy,42.2509914,-71.0037374
Copenhagen,55.6867243,12.5700724
Birstol,34.685484,-118.1584041
Kirkaldy,51.5060039,-0.1015941
Port Antonio,18.175168,-76.4474201
Antwerp,51.2211097,4.3997081
Sicilly,33.9351082,-117.0203587
Brazil,-10.3333333,-53.2
Galway,53.2744122,-9.0490601
Limerick,52.661252,-8.6301239
Essequibo,4.3561036,-58.4785509
[…]gua,2.5000086,-69.0000086
[…]itto,51.5680002,-0.1099038
Annapolis,38.9786401,-76.492786
Digby,44.6194028,-65.758575
Camden,39.9448402,-75.1198911
Newbury,51.4020243,-1.3242212
Provincetown,42.0525612,-70.1858639
River of Plate,-34.5464407,-58.4493685
Havre de Grace,49.4938975,0.1079732
[…]ern,-6.639342,-69.8814399
Martinique and St. Kitts,13.0767974,-59.6031811
Bonavista,48.6541763,-53.110338
Ivica,43.8499834,19.4874666
Porto Rico,18.2247706,-66.4858295
Newry,54.1775283,-6.337506
Belfast,54.5975804,-5.9277097
Londonderry,54.9978678,-7.3213056
whaling,41.6357316,-70.9237988
Wilington,18.5513285,-72.3306537
Edgartown,41.3894198,-70.5129682
Baine,8.4861548,-13.0583597
Newfoundland,49.1211912,-56.6403246
Nassau,25.0782266,-77.3383438
St. Peters,53.9311372,-2.7590004
Isle of May,56.1869282,-2.5579133
Cape-Ann,-66.1635134,51.3841616
Cumberland,40.1541581,-77.2803933
St. Marys,41.3081707,-93.7318728
Gottenburg,-24.6186111,31.4311111
Dighton,38.4819612,-100.467084
Hudson,40.7381635,-74.0550731
Mogadore,41.050775,-81.393946
Naples,40.8358846,14.2487679
Corunna,43.3709703,-8.3959425
Oram,54.1487713,-6.6928467
Newport and Providence,41.8160711,-71.3981301
Hazard,37.2489635,-83.1933893
Figuira,11.9289644,-8.3540863
Talbot,32.6984691,-84.505404
Port au Prince,18.547327,-72.3395928
Spain,39.3260685,-4.8379791
Stornway,44.842752,-63.6035595
St. Petersburg,59.938732,30.316229
St. Andero,-12.9667616,-38.4962824
Cleveland,41.4996574,-81.6936772
Cape Breton,46.2950327,-60.9360554
Fort Royal,14.6027962,-61.0676724
Canada,61.0666922,-107.991707
Hallowell,44.2856241,-69.7902799
Robertson,31.0339058,-96.5079742
Dench,39.6907442,-104.9420598
Fayall,41.523774,-71.2562712
