Ship Name,Origin,Declared Destination,Year,Captain,Cargo,Origin Lat,Origin Lon,Dest Lat,Dest Lon
Arab,Cadiz,Boston,1803,Sargent,1000 hhds. excellent salt,36.5297438,-6.2928976,42.3554334,-71.060511
St. Thomas,Boston,Havana,1803,Auguine,,42.3554334,-71.060511,23.135305,-82.3589631
Four Brothers,Boston,Martinico,1803,Rice,,42.3554334,-71.060511,46.1244198,9.2770489
Lively,Cadiz,Portland,1803,"Warner, of Gloucester",,36.5297438,-6.2928976,43.6573605,-70.2586618
Nabby,Trinadad,Portland,1803,M' Lellan,,10.7466905,-61.0840075,43.6573605,-70.2586618
Vigilant,Trinadad,Portland,1803,,,10.7466905,-61.0840075,43.6573605,-70.2586618
Delaware,St. Croix,Baltimore,1803,,,17.729124,-64.7589156,39.2908816,-76.610759
Mary Someruolon,Havana,Boston,1803,Estervan,,23.135305,-82.3589631,42.3554334,-71.060511
Liberty,St. Croix,Boston,1803,Downe,,17.729124,-64.7589156,42.3554334,-71.060511
Laurel,Martinico,Boston,1803,Helms,,46.1244198,9.2770489,42.3554334,-71.060511
Pacific,Jamaica,Boston,1803,Hastings,,18.1850507,-77.3947693,42.3554334,-71.060511
Eliza,Martinico,Boston,1803,Rich,96 hhds. Martinico molasses,46.1244198,9.2770489,42.3554334,-71.060511
Success,Boston,Amsterdam,1803,Dogget,,42.3554334,-71.060511,52.3730796,4.8924534
Salem,Boston,West-Indies,1803,Nickerson,,42.3554334,-71.060511,18.4,-75.0
Little John,Boston,West-Indies,1803,Baker,,42.3554334,-71.060511,18.4,-75.0
Yarnouth,Martinico,Plymouth,1803,Atwood,,46.1244198,9.2770489,50.3714122,-4.1424451
Swan,West-Indies,Plymouth,1803,Warren,,18.4,-75.0,50.3714122,-4.1424451
Fame,Norfolk,Boston,1803,Lombard,,36.8493695,-76.2899539,42.3554334,-71.060511
Friendship,Richmond,Boston,1803,Snow,,37.5385087,-77.43428,42.3554334,-71.060511
William & Thomas,Boston,West-Indies,1803,Topliff,,42.3554334,-71.060511,18.4,-75.0
Sally,Boston,St. Johns,1803,Thomas,,42.3554334,-71.060511,56.6922843,-60.9373185
Fanny,Baltimore,Boston,1803,Son[…],,39.2908816,-76.610759,42.3554334,-71.060511
Henry,St. Croix,Boston,1803,Jones,"60 punchs St. Croix rum, of excellent quality; 25 hhds. St. Croix sugars",17.729124,-64.7589156,42.3554334,-71.060511
Washington,Lisbon,Boston,1803,,,38.7077507,-9.1365919,42.3554334,-71.060511
Brutus,Boston,Liverpool,1803,Southworth,,42.3554334,-71.060511,53.4071991,-2.99168
Rover,Boston,Amsterdam,1803,Goodwin,,42.3554334,-71.060511,52.3730796,4.8924534
Comet,Charleston,New York,1803,,,32.7884363,-79.9399309,40.7127281,-74.0060152
Olympus,New Bedford,New York,1803,Allen,,41.6362152,-70.934205,40.7127281,-74.0060152
Mercury,St. Johns,New York,1803,Beattey,,56.6922843,-60.9373185,40.7127281,-74.0060152
Shepherdess,Boston,Charleston,1803,Crowel,,42.3554334,-71.060511,32.7884363,-79.9399309
Good Intent,Cape Francoise,Charleston,1803,,,19.7595236,-72.2008068,32.7884363,-79.9399309
Russell,London,Charleston,1803,,,51.5074456,-0.1277653,32.7884363,-79.9399309
Wm & Mary,Amsterdam,Charleston,1803,,,52.3730796,4.8924534,32.7884363,-79.9399309
Derdrag,Bourdeaux,Charleston,1803,,,44.5867879,5.1342966,32.7884363,-79.9399309
Julian,Boston,Charleston,1803,,,42.3554334,-71.060511,32.7884363,-79.9399309
Unanimity,St. Thomas,Charleston,1803,,,18.3429081,-64.9188997,32.7884363,-79.9399309
Golden Age,Charleston,Liverpool,1803,Nve,,32.7884363,-79.9399309,53.4071991,-2.99168
Mary,Charleston,Cape Francoise,1803,Richards,,32.7884363,-79.9399309,19.7595236,-72.2008068
Mars,Charleston,Liverpool,1803,,,32.7884363,-79.9399309,53.4071991,-2.99168
Two Friends,Charleston,London,1803,,,32.7884363,-79.9399309,51.5074456,-0.1277653
Washington,Charleston,Martinique,1803,,,32.7884363,-79.9399309,14.6113732,-60.9620777
Robey,Charleston,Portsmouth,1803,Johnson,,32.7884363,-79.9399309,50.800031,-1.0906023
Thetis,Charleston,Bourdeaux,1803,,,32.7884363,-79.9399309,44.5867879,5.1342966
Aimwell,Greenock,Savannah,1803,,,55.9473423,-4.7564721,32.0790074,-81.0921335
Experiment,Jamaica,Savannah,1803,,,18.1850507,-77.3947693,32.0790074,-81.0921335
Beaver,Cape Francoise,Savannah,1803,,,19.7595236,-72.2008068,32.0790074,-81.0921335
Traveller,Jamaica,Savannah,1803,,,18.1850507,-77.3947693,32.0790074,-81.0921335
Two Sisters,Salem,Savannah,1803,,,42.5195292,-70.8967226,32.0790074,-81.0921335
Alexander,Savannah,London,1803,,,32.0790074,-81.0921335,51.5074456,-0.1277653
Matilda,Savannah,Martinique,1803,,,32.0790074,-81.0921335,14.6113732,-60.9620777
Four Friends,Demerara,Boston,1803,Whitmarsh,,5.6294891,-58.3937764,42.3554334,-71.060511
Ethan Allen,Boston,Baltimore,1803,Buel,,42.3554334,-71.060511,39.2908816,-76.610759
Andls,Baltimore,Martinique,1803,,,39.2908816,-76.610759,14.6113732,-60.9620777
Ceiterion,Wilmington,Boston,1803,Drinkwater,"400 bbls tar, in large casks; 10 half tierces rice",39.7459468,-75.546589,42.3554334,-71.060511
Eliza,Norfolk,Boston,1803,Banks,,36.8493695,-76.2899539,42.3554334,-71.060511
Friendship,New York,Boston,1803,,,40.7127281,-74.0060152,42.3554334,-71.060511
Ann,Savannah,Boston,1803,Cottle,,32.0790074,-81.0921335,42.3554334,-71.060511
Sukey,Wilmington,Boston,1803,Kendrick,,39.7459468,-75.546589,42.3554334,-71.060511
George and Harriot,Boston,West-Indies,1803,Allen,,42.3554334,-71.060511,18.4,-75.0
Fanny,Boston,West-Indies,1803,Goodrich,,42.3554334,-71.060511,18.4,-75.0
Hope,Boston,Liverpool,1803,Ripley,,42.3554334,-71.060511,53.4071991,-2.99168
Nancy,Boston,Liverpool,1803,Ward,,42.3554334,-71.060511,53.4071991,-2.99168
La Amiable Theresa,Cape Francoise,Charleston,1803,Benoist,,19.7595236,-72.2008068,32.7884363,-79.9399309
Laurel,Boston,Savannah,1803,Helms,,42.3554334,-71.060511,32.0790074,-81.0921335
Fishhawk,West-Indies,Salem,1803,Cook,,18.4,-75.0,42.5195292,-70.8967226
Dovt,Boston,Havana,1803,Atkins,,42.3554334,-71.060511,23.135305,-82.3589631
Marcia,Boston,Tobago,1803,Cole,,42.3554334,-71.060511,11.2404615,-60.672006
St. Fermin,Boston,Havana,1803,Foral,,42.3554334,-71.060511,23.135305,-82.3589631
Betsey,Tobago,Norfolk,1803,Kempton,,11.2404615,-60.672006,36.8493695,-76.2899539
Perseverance,Rotterdam,Norfolk,1803,Coggeshall,,51.9244424,4.47775,36.8493695,-76.2899539
Juno,Portsmouth,Norfolk,1803,Ellery,,50.800031,-1.0906023,36.8493695,-76.2899539
Wm & Mary,Norfolk,Cadiz,1803,Dickson,,36.8493695,-76.2899539,36.5297438,-6.2928976
George,Norfolk,Martinique,1803,Taylor,,36.8493695,-76.2899539,14.6113732,-60.9620777
Hannah,Norfolk,Cadiz,1803,Bartlett,,36.8493695,-76.2899539,36.5297438,-6.2928976
Hope,Norfolk,Barbadoes,1803,M' Kenzie,,36.8493695,-76.2899539,13.1500331,-59.5250305
Anna,Norfolk,St. Thomas,1803,Darrell,,36.8493695,-76.2899539,18.3429081,-64.9188997
Fishhawk,Norfolk,West-Indies,1803,Allen,,36.8493695,-76.2899539,18.4,-75.0
Jane,Havana,Boston,1803,Snow,,23.135305,-82.3589631,42.3554334,-71.060511
Ranger,Barbadoes,Boston,1803,Hooper,54 barrels sugars; 5 hogsheads sugars; 11 hhds. West-India rum,13.1500331,-59.5250305,42.3554334,-71.060511
Eleanor,Savannah,Boston,1803,Hodgkins,,32.0790074,-81.0921335,42.3554334,-71.060511
Rover,Norfolk,Boston,1803,Nickerson,,36.8493695,-76.2899539,42.3554334,-71.060511
"Recovery, of Castine",Liverpool,Boston,1803,Wadsworth,,53.4071991,-2.99168,42.3554334,-71.060511
President,New York,Boston,1803,Sturgis,,40.7127281,-74.0060152,42.3554334,-71.060511
Caroline,Alexandria,Boston,1803,Slocum,,31.1991806,29.8951716,42.3554334,-71.060511
Mercury,Boston,Amsterdam,1803,Porter,,42.3554334,-71.060511,52.3730796,4.8924534
Sally,Portsmouth,Philadelphia,1803,Smith,,50.800031,-1.0906023,39.9527237,-75.1635262
Sincerity,Barbadoes,Philadelphia,1803,Wright,,13.1500331,-59.5250305,39.9527237,-75.1635262
Hunter,West-Indies,Alexandria,1803,,,18.4,-75.0,31.1991806,29.8951716
Eliza,Demerara,New York,1803,Ricker,,5.6294891,-58.3937764,40.7127281,-74.0060152
Hannah,Halifax,Boston,1803,R[…]straw,,44.648618,-63.5859487,42.3554334,-71.060511
Alknomae,Rotterdam,Boston,1803,Cleaveland,,51.9244424,4.47775,42.3554334,-71.060511
Nancy,Guadaloupe,Boston,1803,Goddard,16000 wt. coffee; 27 hhds. clayed sugars; 27 bbls. clayed sugars; few hhds. molasses,26.9095819,-101.4333638,42.3554334,-71.060511
Mary,Halifax,Boston,1803,Hunford,,44.648618,-63.5859487,42.3554334,-71.060511
Portland Packet,Portland,Boston,1803,Therle,,43.6573605,-70.2586618,42.3554334,-71.060511
Palladium,Boston,Martinico,1803,Savage,,42.3554334,-71.060511,46.1244198,9.2770489
Nestar,Guadaloupe,Philadelphia,1803,Whipple,,26.9095819,-101.4333638,39.9527237,-75.1635262
Ethan Allen,Baltimore,Boston,1803,Copeland,,39.2908816,-76.610759,42.3554334,-71.060511
Hero,Baltimore,Boston,1803,Brayton,,39.2908816,-76.610759,42.3554334,-71.060511
George,Baltimore,Boston,1803,Stodder,,39.2908816,-76.610759,42.3554334,-71.060511
Laurel,Baltimore,New Bedford,1803,Tripp,,39.2908816,-76.610759,41.6362152,-70.934205
Superior,Norfolk,Lisbon,1803,Matthewson,,36.8493695,-76.2899539,38.7077507,-9.1365919
Unicorn,Norfolk,West-Indies,1803,Crowell,,36.8493695,-76.2899539,18.4,-75.0
Dwyer,Norfolk,Boston,1803,Shanks,45 hhds. Antigua and Montserrat rum; 17 casks rice; 200 bushels corn; 40 bales Georgia cotton; 185 barrels superfine and fine flour,36.8493695,-76.2899539,42.3554334,-71.060511
Huge Johnson,Boston,Liverpool,1803,Weld,,42.3554334,-71.060511,53.4071991,-2.99168
Tarantula,Boston,Demerara,1803,Taylor,,42.3554334,-71.060511,5.6294891,-58.3937764
Pomona,St. Thomas,Baltimore,1803,Watts,,18.3429081,-64.9188997,39.2908816,-76.610759
Polomack,St. Thomas,Baltimore,1803,Cox,,18.3429081,-64.9188997,39.2908816,-76.610759
Lear,Trinadad,Baltimore,1803,Low,,10.7466905,-61.0840075,39.2908816,-76.610759
Thomas Jefferson,Amsterdam,Philadelphia,1803,,,52.3730796,4.8924534,39.9527237,-75.1635262
Olive Branch,Cape Francoise,Philadelphia,1803,,,19.7595236,-72.2008068,39.9527237,-75.1635262
Mars,New Orleans,Philadelphia,1803,,,29.9759983,-90.0782127,39.9527237,-75.1635262
Aurora,Martinico,Boston,1803,Allen,,46.1244198,9.2770489,42.3554334,-71.060511
Trader,Liverpool,Boston,1803,Bass,,53.4071991,-2.99168,42.3554334,-71.060511
Betsey,Trinadad,Boston,1803,Bradford,,10.7466905,-61.0840075,42.3554334,-71.060511
Levant,Savannah,Boston,1803,Davidson,,32.0790074,-81.0921335,42.3554334,-71.060511
Eliza,Boston,Havana,1803,Leslie,,42.3554334,-71.060511,23.135305,-82.3589631
Hope,Martinico,Salem,1803,Lander,,46.1244198,9.2770489,42.5195292,-70.8967226
Trent,Martinico,Baltimore,1803,"Kingsman, of Salem",,46.1244198,9.2770489,39.2908816,-76.610759
John,Trinadad,Baltimore,1803,Lovett,,10.7466905,-61.0840075,39.2908816,-76.610759
Hibernia,Halifax,Boston,1803,M' Herroa,,44.648618,-63.5859487,42.3554334,-71.060511
Francis and Eliza,Cape Francoise,Boston,1803,Sprague,"14500 lbs. best green coffee, in barrels; 300 new hides",19.7595236,-72.2008068,42.3554334,-71.060511
George,Norfolk,Boston,1803,Stoddard,350 bbls. superfine flour; 300 bbls. fine flour,36.8493695,-76.2899539,42.3554334,-71.060511
Dolphin,Richmond,Boston,1803,Rich,20 hhds. James River tobacco; 2000 bushels best Virginia coals,37.5385087,-77.43428,42.3554334,-71.060511
Ethan Allen,Baltimore,Boston,1803,Copeland,500 bbls. fine and superfine flour; 90 half bbls. fine and superfine flour,39.2908816,-76.610759,42.3554334,-71.060511
Federal George,Baltimore,Boston,1803,Field,,39.2908816,-76.610759,42.3554334,-71.060511
Sally,Windsor,Boston,1803,Barker Windsor,,42.2858536,-82.9780695,42.3554334,-71.060511
Harmony,Alexandria,Boston,1803,Hall,,31.1991806,29.8951716,42.3554334,-71.060511
Hazard,Alexandria,Boston,1803,Luce,,31.1991806,29.8951716,42.3554334,-71.060511
Sally,Plymouth,Boston,1803,Vinal,,50.3714122,-4.1424451,42.3554334,-71.060511
Seaflower,Charleston,Boston,1803,Cottle,"80 bales upland cotton; 1 cask indigo; 14 tons lignumvitz; a small quantity redwood; 600 yards bagging, suitable for hop bags",32.7884363,-79.9399309,42.3554334,-71.060511
Favorite,Madeira,Boston,1803,Pouslard,,32.7517501,-16.9817487,42.3554334,-71.060511
Two Brothers,Boston,West-Indies,1803,Wheelwright,,42.3554334,-71.060511,18.4,-75.0
Mary,Boston,Halifax,1803,Huxford,,42.3554334,-71.060511,44.648618,-63.5859487
Nabby,Boston,West-Indies,1803,Tuck,,42.3554334,-71.060511,18.4,-75.0
Fanny,Cape Francoise,Charleston,1803,Evans,,19.7595236,-72.2008068,32.7884363,-79.9399309
Cabinet,Madeira,Charleston,1803,Johnson,,32.7517501,-16.9817487,32.7884363,-79.9399309
Nancy,Lisbon,Charleston,1803,Farnel,,38.7077507,-9.1365919,32.7884363,-79.9399309
Nancy,Cape Francoise,Charleston,1803,Brookings,,19.7595236,-72.2008068,32.7884363,-79.9399309
Courler,Cape Francoise,Charleston,1803,Pigeon,,19.7595236,-72.2008068,32.7884363,-79.9399309
Betsey,Martinico,Charleston,1803,Girdler,,46.1244198,9.2770489,32.7884363,-79.9399309
Betsey,Boston,Liverpool,1803,Joy,,42.3554334,-71.060511,53.4071991,-2.99168
Unanimis,Boston,New York,1803,Hastings,,42.3554334,-71.060511,40.7127281,-74.0060152
Swan,Boston,New York,1803,Knap,,42.3554334,-71.060511,40.7127281,-74.0060152
Victory,Boston,New York,1803,Lane,,42.3554334,-71.060511,40.7127281,-74.0060152
Rambler,Yarmouth,New York,1803,Ferris,,52.6071742,1.7314845,40.7127281,-74.0060152
Mark and Mary,St. Croix,New York,1803,Wiswall,,17.729124,-64.7589156,40.7127281,-74.0060152
Jason,Greenock,New York,1803,,,55.9473423,-4.7564721,40.7127281,-74.0060152
William,New York,New York,1803,,,40.7127281,-74.0060152,40.7127281,-74.0060152
Amity,Boston,Philadelphia,1803,Spencer,,42.3554334,-71.060511,39.9527237,-75.1635262
Venus,Halifax,Baltimore,1803,Tupper,,44.648618,-63.5859487,39.2908816,-76.610759
Washington,Boston,Baltimore,1803,Davis,,42.3554334,-71.060511,39.2908816,-76.610759
George,Amsterdam,Baltimore,1803,Sprigg,,52.3730796,4.8924534,39.2908816,-76.610759
Spy,Tobago,Norfolk,1803,Fowler,,11.2404615,-60.672006,36.8493695,-76.2899539
Mary,Havana,Norfolk,1803,Mercy,,23.135305,-82.3589631,36.8493695,-76.2899539
Bash,Trinadad,Norfolk,1803,,,10.7466905,-61.0840075,36.8493695,-76.2899539
Fox,Liverpool,Boston,1803,Bunker,Liverpool salt; coals; calicoes; muslins; linens,53.4071991,-2.99168,42.3554334,-71.060511
Iris,Demerara,Boston,1803,Gorham,100 hhds. good flavoured rum,5.6294891,-58.3937764,42.3554334,-71.060511
Washington,Portland,Boston,1803,Lewis,,43.6573605,-70.2586618,42.3554334,-71.060511
Margaret,Portland,Boston,1803,Dutch,,43.6573605,-70.2586618,42.3554334,-71.060511
Romeo,Alexandria,Boston,1803,Payne,,31.1991806,29.8951716,42.3554334,-71.060511
Arnold,Salem,Boston,1803,Russell,,42.5195292,-70.8967226,42.3554334,-71.060511
Hannah,Salem,Boston,1803,Martin,,42.5195292,-70.8967226,42.3554334,-71.060511
Polly,Salem,Boston,1803,Gardner,,42.5195292,-70.8967226,42.3554334,-71.060511
Polly,Boston,Liverpool,1803,Williston,,42.3554334,-71.060511,53.4071991,-2.99168
Mahala,Boston,Liverpool,1803,Windsor,,42.3554334,-71.060511,53.4071991,-2.99168
Thomas,Boston,Martinique,1803,Carne,,42.3554334,-71.060511,14.6113732,-60.9620777
Sally,Philadelphia,Martinico,1803,Huse,,39.9527237,-75.1635262,46.1244198,9.2770489
Sea Nymph,Bourdeaux,New York,1803,Parket,,44.5867879,5.1342966,40.7127281,-74.0060152
Diana,Boston,Liverpool,1803,Noble,,42.3554334,-71.060511,53.4071991,-2.99168
Thomas,Boston,Martinico,1803,Carnes,,42.3554334,-71.060511,46.1244198,9.2770489
Hannah,Boston,Halifax,1803,Rikestraw,,42.3554334,-71.060511,44.648618,-63.5859487
Richard,Demerara,New London,1803,Gilbert,,5.6294891,-58.3937764,41.3556187,-72.0997804
Venus,Trinadad,Norfolk,1803,,,10.7466905,-61.0840075,36.8493695,-76.2899539
Jolly Rover,Portland,Norfolk,1803,Blanchard,,43.6573605,-70.2586618,36.8493695,-76.2899539
Mary,Norfolk,Cadiz,1803,Howett,,36.8493695,-76.2899539,36.5297438,-6.2928976
Nancy,Norfolk,Cadiz,1803,Davis,,36.8493695,-76.2899539,36.5297438,-6.2928976
Jesse,Norfolk,Bourdeaux,1803,Cowper,,36.8493695,-76.2899539,44.5867879,5.1342966
Juno,Tobago,Norfolk,1803,Derby,,11.2404615,-60.672006,36.8493695,-76.2899539
Elizabeth,Norfolk,Lisbon,1803,Barclay,,36.8493695,-76.2899539,38.7077507,-9.1365919
Bath,Liverpool,Portland,1803,Thrasher,,53.4071991,-2.99168,43.6573605,-70.2586618
Fair American,Trinidad,Boston,1803,Pease,,10.4430243,-61.2613054,42.3554334,-71.060511
Friendship,Boston,Boston,1803,Lider of Wisecasset,87 bbls. superfine flour; 124 bbls. fine flour; 55 chaldrons Virginia coal,42.3554334,-71.060511,42.3554334,-71.060511
Adamson,Boston,Boston,1803,,,42.3554334,-71.060511,42.3554334,-71.060511
Commerce,Boston,Boston,1803,Ingersol of Beverly,,42.3554334,-71.060511,42.3554334,-71.060511
Frederick Hart,Lisbon,Boston,1803,,,38.7077507,-9.1365919,42.3554334,-71.060511
Ranger,Salem,Boston,1803,Byrne,,42.5195292,-70.8967226,42.3554334,-71.060511
Revival,New Haven,Boston,1803,Barney,,41.3082138,-72.9250518,42.3554334,-71.060511
Sally,Salem,Boston,1803,Shehan,,42.5195292,-70.8967226,42.3554334,-71.060511
Herald,New London,Boston,1803,Comstock,,41.3556187,-72.0997804,42.3554334,-71.060511
Lucy,Gloucester,Boston,1803,Saville,,51.8653705,-2.2458192,42.3554334,-71.060511
Success,Gloucester,Boston,1803,Brown,,51.8653705,-2.2458192,42.3554334,-71.060511
Ranger,Boston,Liverpool,1803,Hooper,,42.3554334,-71.060511,53.4071991,-2.99168
Columbine,Boston,Liverpool,1803,Bruce,,42.3554334,-71.060511,53.4071991,-2.99168
Polly,Boston,Norfolk,1803,Smith of Barnstable,,42.3554334,-71.060511,36.8493695,-76.2899539
Betsey and Polly,Boston,New York,1803,Luce,,42.3554334,-71.060511,40.7127281,-74.0060152
Osiris,Liverpool,Philadelphia,1803,,,53.4071991,-2.99168,39.9527237,-75.1635262
Rover,St. Croix,Newbern,1803,Hardy,,17.729124,-64.7589156,36.1801885,-75.863769
Sally,Newbern,Jamaica,1803,Croswell,,36.1801885,-75.863769,18.1850507,-77.3947693
the Three Friends,Boston,Norfolk,1803,Otis,,42.3554334,-71.060511,36.8493695,-76.2899539
Experiment,St. Johns,Norfolk,1803,Murray,,56.6922843,-60.9373185,36.8493695,-76.2899539
Magistrate,Norfolk,London,1803,Peterson,,36.8493695,-76.2899539,51.5074456,-0.1277653
Hannah,Boston,Alexandria,1803,Smith,,42.3554334,-71.060511,31.1991806,29.8951716
Drucilla,New Bedford,Alexandria,1803,Howland,,41.6362152,-70.934205,31.1991806,29.8951716
Hunter,Alexandria,Lisbon,1803,,,31.1991806,29.8951716,38.7077507,-9.1365919
Adventure,Newbern,Boston,1803,Bradford,,36.1801885,-75.863769,42.3554334,-71.060511
Harriot,Baltimore,Boston,1803,Nath,,39.2908816,-76.610759,42.3554334,-71.060511
